Event Time, Symbol, Funding Rate, Yearly Funding Rate
19:32:12, WIFUSDT, -0.00011199, -12.262905
19:32:15, WIFUSDT, -0.00011199, -12.262905
19:32:18, WIFUSDT, -0.00011199, -12.262905
19:32:21, WIFUSDT, -0.00011199, -12.262905
19:32:24, WIFUSDT, -0.00011199, -12.262905
19:32:27, WIFUSDT, -0.00011199, -12.262905
19:32:30, WIFUSDT, -0.00011199, -12.262905
19:32:33, WIFUSDT, -0.00011199, -12.262905
19:32:36, WIFUSDT, -0.00011199, -12.262905
19:32:39, WIFUSDT, -0.00011199, -12.262905
19:32:42, WIFUSDT, -0.00011199, -12.262905
19:36:09, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:12, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:15, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:18, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:21, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:24, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:27, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:30, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:33, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:36, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:39, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:42, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:45, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:48, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:51, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:54, WIFUSDT, -8.766e-05, -9.598770000000002
19:36:57, WIFUSDT, -8.766e-05, -9.598770000000002
19:37:00, WIFUSDT, -8.766e-05, -9.598770000000002
19:37:03, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:06, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:09, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:12, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:15, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:18, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:21, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:24, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:27, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:30, WIFUSDT, -8.814e-05, -9.651330000000002
19:37:33, WIFUSDT, -8.814e-05, -9.651330000000002
