Event Time, Symbol, Funding Rate, Yearly Funding Rate
19:32:12, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:15, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:18, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:21, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:24, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:27, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:30, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:33, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:36, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:39, BTCUSDT, 4.602e-05, 5.0391900000000005
19:32:42, BTCUSDT, 4.602e-05, 5.0391900000000005
19:36:09, BTCUSDT, 4.94e-05, 5.4093
19:36:12, BTCUSDT, 4.94e-05, 5.4093
19:36:15, BTCUSDT, 4.94e-05, 5.4093
19:36:18, BTCUSDT, 4.94e-05, 5.4093
19:36:21, BTCUSDT, 4.94e-05, 5.4093
19:36:24, BTCUSDT, 4.94e-05, 5.4093
19:36:27, BTCUSDT, 4.94e-05, 5.4093
19:36:30, BTCUSDT, 4.94e-05, 5.4093
19:36:33, BTCUSDT, 4.94e-05, 5.4093
19:36:36, BTCUSDT, 4.94e-05, 5.4093
19:36:39, BTCUSDT, 4.94e-05, 5.4093
19:36:42, BTCUSDT, 4.94e-05, 5.4093
19:36:45, BTCUSDT, 4.94e-05, 5.4093
19:36:48, BTCUSDT, 4.94e-05, 5.4093
19:36:51, BTCUSDT, 4.94e-05, 5.4093
19:36:54, BTCUSDT, 4.94e-05, 5.4093
19:36:57, BTCUSDT, 4.94e-05, 5.4093
19:37:00, BTCUSDT, 4.94e-05, 5.4093
19:37:03, BTCUSDT, 4.94e-05, 5.4093
19:37:06, BTCUSDT, 4.94e-05, 5.4093
19:37:09, BTCUSDT, 4.94e-05, 5.4093
19:37:12, BTCUSDT, 4.94e-05, 5.4093
19:37:15, BTCUSDT, 4.94e-05, 5.4093
19:37:18, BTCUSDT, 4.94e-05, 5.4093
19:37:21, BTCUSDT, 4.94e-05, 5.4093
19:37:24, BTCUSDT, 4.94e-05, 5.4093
19:37:27, BTCUSDT, 4.94e-05, 5.4093
19:37:30, BTCUSDT, 4.94e-05, 5.4093
19:37:33, BTCUSDT, 4.94e-05, 5.4093
19:37:36, BTCUSDT, 4.94e-05, 5.4093
19:37:39, BTCUSDT, 4.94e-05, 5.4093
19:44:36, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:39, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:42, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:45, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:48, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:51, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:54, BTCUSDT, 5.393e-05, 5.905335000000001
19:44:57, BTCUSDT, 5.393e-05, 5.905335000000001
19:51:57, BTCUSDT, 5.387e-05, 5.898764999999999
19:52:00, BTCUSDT, 5.387e-05, 5.898764999999999
19:52:03, BTCUSDT, 5.405e-05, 5.918475
19:53:21, BTCUSDT, 5.522e-05, 6.04659
19:53:24, BTCUSDT, 5.522e-05, 6.04659
19:53:27, BTCUSDT, 5.522e-05, 6.04659
19:53:30, BTCUSDT, 5.522e-05, 6.04659
19:53:30, BTCUSDT, 5.522e-05, 6.04659
19:53:33, BTCUSDT, 5.522e-05, 6.04659
19:53:33, BTCUSDT, 5.522e-05, 6.04659
19:53:36, BTCUSDT, 5.522e-05, 6.04659
19:53:36, BTCUSDT, 5.522e-05, 6.04659
19:53:39, BTCUSDT, 5.522e-05, 6.04659
19:53:39, BTCUSDT, 5.522e-05, 6.04659
19:53:42, BTCUSDT, 5.522e-05, 6.04659
19:53:42, BTCUSDT, 5.522e-05, 6.04659
19:53:45, BTCUSDT, 5.522e-05, 6.04659
19:53:48, BTCUSDT, 5.522e-05, 6.04659
19:53:51, BTCUSDT, 5.522e-05, 6.04659
19:53:54, BTCUSDT, 5.522e-05, 6.04659
19:53:54, BTCUSDT, 5.522e-05, 6.04659
19:53:57, BTCUSDT, 5.522e-05, 6.04659
19:53:57, BTCUSDT, 5.522e-05, 6.04659
19:54:00, BTCUSDT, 5.522e-05, 6.04659
19:54:00, BTCUSDT, 5.522e-05, 6.04659
19:54:03, BTCUSDT, 5.522e-05, 6.04659
19:54:03, BTCUSDT, 5.522e-05, 6.04659
19:54:06, BTCUSDT, 5.522e-05, 6.04659
19:54:06, BTCUSDT, 5.522e-05, 6.04659
19:54:09, BTCUSDT, 5.522e-05, 6.04659
19:54:09, BTCUSDT, 5.522e-05, 6.04659
19:54:12, BTCUSDT, 5.522e-05, 6.04659
19:54:15, BTCUSDT, 5.522e-05, 6.04659
19:54:15, BTCUSDT, 5.522e-05, 6.04659
19:54:18, BTCUSDT, 5.522e-05, 6.04659
19:54:21, BTCUSDT, 5.522e-05, 6.04659
